"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 5, 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2012,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
129465,Alameda,01611506141592,A Shepherd's Heart Christian School,"225 West Winton Avenue, Suite 116",Castro Valley,CA,94546,,,,,510-581-8081,keithallen7@hotmail.com,,Castro Valley Unified,Mr.,Don,Moschella,Headmaster,,Coeducational,Day Only,K,12,0,0,3,3,0,2,3,3,5,2,3,5,2,0,0,31,Yes,2,4,3,0,0,Yes,No,Yes,No,Yes,Religious,Interdenominational,Mr.,Keith,Erickson,Executive Director,keithallen7@hotmail.com,Mr.,KEITH,ERICKSON,keithallen7@hotmail.com
116583,Alameda,01611436972533,"Academy, The",2722 Benvenue Avenue,Berkeley,CA,94705,,,,,510-549-0605,theacademyk-8@comcast.net,lauraknight@theacademyk-8.com,Berkeley Unified,Mrs.,Laura,Knight,Other,lauraknight@theacademyk-8.com,Coeducational,Day Only,K,8,9,7,8,8,11,8,3,15,2,0,0,0,0,0,0,71,No,0,10,5,3,5,No,No,No,No,No,Non-religious,,Ms.,Ann,Kennedy,Head of School,akennedy@theacademyk-8.com,Ms.,Ann,Kennedy,akennedy@theacademyk-8.com
131704,Alameda,01612597082266,Acts Christian Academy,1034 66th Avenue,Oakland,CA,94621,,,,,510-568-3333,sdavis@actsfullgospel.org,,Oakland Unified,Dr.,Doris,Limbrick,President,drlimbrick@actsfullgospel.org,Coeducational,Day Only,K,8,17,18,17,10,14,8,6,9,7,0,0,0,0,0,0,106,No,0,9,0,2,4,No,Yes,No,No,Yes,Religious,Other,Mrs.,Stephanie,Davis,Principal,sdavis@actsfullgospel.org,Miss,Brittany,Davis,
118054,Alameda,01611196967434,Alameda Christian,2226 Pacific Avenue,Alameda,CA,94501,,,,,510-523-1000,alamedachristian@yahoo.com,,Alameda City Unified,Mrs.,Jean,Busby,Principal,alamedachristian@yahoo.com,Coeducational,Day Only,K,8,4,6,6,6,7,3,6,3,5,0,0,0,0,0,0,46,No,0,5,1,1,4,No,Yes,No,Yes,Yes,Religious,Interdenominational,Mr.,Jay,Sankey,Director,,Mrs.,Jean,Busby,alamedachristian@yahoo.com
117432,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,,,,,510-582-1910,jdiaz@csdo.org,jgarcia@csdo.org,Hayward Unified,Ms.,jennifer,Diaz,Principal,jdiaz@csdo.org,Coeducational,Day Only,K,8,14,23,21,17,21,26,31,30,20,0,0,0,0,0,0,203,No,0,10,2,1,12,No,Yes,No,No,Yes,Religious,Roman Catholic,Sr.,Barbara,Bray,President,,Ms.,jennifer,Diaz,JDiaz@csdo.org
119086,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,PO Box 3296,Fremont,CA,94539,510-445-8878,info@alsion.org,alsion.rosemary@comcast.net,Fremont Unified,Ms.,Rosemary,Petersen,Head of School,alsion.rosemary@comcast.net,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,16,21,14,6,11,5,0,0,73,Yes,0,5,1,2,2,No,Yes,No,No,Yes,Non-religious,,Mr.,Timothy,Reilley,Other,timothyreilly12@gmail.com,Ms.,Rosemary,Petersen,alsion.rosemary@comcast.net
130043,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,,,,510-868-1815,office@AIMmontessori.com,,Berkeley Unified,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Coeducational,Day Only,K,6,25,15,4,2,3,1,0,0,0,0,0,0,0,0,0,50,No,0,13,2,2,2,No,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Mr.,Ernest,Mahr,office@AIMmontessori.com
118818,Alameda,01611506133441,"Anchor Education, Inc.",19234 Lake Chabot Road,Castro Valley,CA,94546,PO Box 368,San Leandro,CA,94577,510-247-9235,aeischool@sbcglobal.net,,Castro Valley Unified,Mr.,Stuart,Fussell,Director,stuart@stuartfussell.com,Coeducational,Day Only,3,12,0,0,0,1,1,2,1,0,1,2,0,3,0,0,0,11,Yes,2,2,1,0,0,No,Yes,Yes,No,Yes,Non-religious,,Mr.,James,Holt,President,aeischool@sbcglobal.net,Mr.,Stuart,Fussell,stuart@stuartfussell.com
131414,Alameda,01611436932768,Archway School,1970 Virginia Street,Berkeley,CA,94709,,,,,510-849-4747,bdshoup@gmail.com,karenfamous@gmail.com,Berkeley Unified School District,Mr.,Bruce,Shoup,Head of School,bruce@archway.org,Coeducational,Day Only,5,8,0,0,0,0,0,7,13,9,12,0,0,0,0,0,0,41,No,0,6,2,3,0,No,Yes,No,No,Yes,Non-religious,,Mr.,Peter,Turnbull,President,misterbonefish@comcast.net,Mrs.,Audrey,Kauffman,audrey_kauffman@yahoo.com
119200,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,,,,,510-357-8772,plyons@csdo.org,jgarcia@csdo.org,San Leandro Unified,Ms.,Pamela,Lyons,Principal,plyons@csdo.org,Coeducational,Day Only,K,8,31,32,32,32,32,32,32,31,33,0,0,0,0,0,0,287,No,0,13,10,1,16,Yes,Yes,No,No,Yes,Religious,Roman Catholic,Sr.,Barbara,Bray,Superintendent,,Ms.,Pamela,Lyons,plyons@csdo.org
