"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014-15 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 12, 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2014,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education Services,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
149949,Alameda,01611506148373,"		School of Love, Joy and Peace",22200 West Lyndon Loop,Castro Valley,CA,94552,,,,,510-582-6851,jeangao@yahoo.com,,Castro Valley Unified,Dr.,Jean,gao,Principal,jeangao@yahoo.com,Coeducational,Day Only,2,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,Yes,0,1,3,1,2,Yes,No,No,No,No,Non-religious,,Dr.,Jean,Gao,Principal,jeangao@yahoo.com,Mr.,James,kindinger,jimkindinger@hotmail.com
162652,Alameda,01611506141592,A Shepherd's Heart Christian School,"225 West Winton Avenue, Suite 116",Hayward,CA,94544,,,,,510-259-0477,keithallen7@hotmail.com,,Castro Valley Unified,Mr.,DON,MOSCHELLA,Headmaster,keithallen7@hotmail.com,Coeducational,Day Only,K,12,2,0,2,0,0,1,0,2,1,1,5,2,3,0,0,19,Yes,3,4,1,1,0,Yes,No,Yes,No,Yes,Religious,Not affiliated with any denomination,Mr.,KEITH,ERICKSON,Superintendent,keithallen7@hotmail.com,Mr.,KEITH,ERICKSON,keithallen7@hotmail.com
165693,Alameda,01612596910343,Agnes Memorial Christian Academey,2372 International Boulevard,Oakland,CA,94601,,,,,510-533-1101,,,Oakland Unified,Ms.,Aijeron,Simmons,Administrator,billiejsimmons@sbcglobal.net,Coeducational,Day Only,K,12,5,4,0,3,0,4,2,0,3,3,0,0,1,0,0,25,No,2,3,1,2,0,No,Yes,No,No,Yes,Religious,Pentecostal,Mr.,Marshall,Simmons,Principal,,Ms.,Aija,Simmons,
150086,Alameda,01611196967434,Alameda Christian,2226 Pacific Avenue,Alameda,CA,94501,,,,,510-523-1000,alamedachristian@yahoo.com,,Alameda Unified,Mr.,Ronald,Postma,Principal,alamedachristian@yahoo.com,Coeducational,Day Only,K,8,8,4,5,5,6,3,5,4,7,0,0,0,0,0,0,47,No,0,4,1,1,4,No,Yes,No,No,Yes,Religious,Reformed,Mr.,Ronald,Postma,Principal,alamedachristian@yahoo.com,Mr.,Ronald,Postma,alamedachristian@yahoo.com
161586,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,,,,,510-582-1910,jdiaz@csdo.org,jgarcia@csdo.org,Hayward Unified,Ms.,Jennifer,Diaz,Principal,jdiaz@csdo.org,Coeducational,Day Only,K,8,21,14,20,24,28,23,22,28,29,0,0,0,0,0,0,209,No,0,11,7,4,4,No,Yes,No,No,Yes,Religious,Roman Catholic,Ms.,jennifer,Diaz,Principal,jdiaz@csdo.org,Ms.,Susan,Porter,sporter@csdo.org
150056,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,,,,,510-445-8878,info@alsion.org,,Fremont Unified,Mrs.,Rosemary,Petersen,Head of School,alsion.rosemary@comcast.com,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,21,10,6,8,7,6,0,0,58,Yes,11,5,1,1,1,No,Yes,No,No,Yes,Non-religious,,Mr.,Timothy,Reilly,Director,imothyreilly12@gmail.com,Mrs.,Rosemary,Petersen,alsion.rosemary@comcast.net
150381,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,,,,510-868-1815,office@AIMmontessori.com,,Berkeley Unified,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Coeducational,Day Only,K,6,20,6,10,3,0,5,0,0,0,0,0,0,0,0,0,44,No,0,18,2,2,3,No,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Mr.,Ernest,Mahr,office@AIMmontessori.com
162309,Alameda,01611506133441,"Anchor Education, Inc.",19234 Lake Chabot Road,Castro Valley,CA,94546,,,,,510-247-9235,aeischool@sbcglobal.net,,Castro Valley Unified,Mr.,Guy,Fusell,Director,guy.fussell@sterlinged.org,Coeducational,Day Only,3,12,0,0,0,0,4,1,1,3,1,0,2,2,0,0,0,14,Yes,0,3,2,0,0,No,Yes,Yes,No,Yes,Non-religious,,Mr.,Guy,Fussell,Director,guy.fussell@sterlinged.org,Mr.,Guy,Fussell,guy.fussell@sterlinged.org
161578,Alameda,07617966932917,"Applied Scholastics Academy, East Bay",2050 Lincoln Avenue,Alameda,CA,94501,,,,,510-748-0428,asaeastbay@gmail.com,,Alameda Unified,Ms.,Diana,Doiel,Director,asaeastbay@gmail.com,Coeducational,Day Only,K,12,2,2,2,1,1,0,2,1,1,1,0,0,0,0,0,13,Yes,1,2,1,1,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Diana,Doiel,Director,,Ms.,Diana,Doiel,asaeastbay@gmail.com
163689,Alameda,01611436932768,Archway School,1940 Virginia Street,Berkeley,CA,94709,,,,,510-849-4747,bruce@archwayschool.org,katrina@archwayschool.org,Berkeley Unified,Mr.,Bruce,Shoup,Head of School,bruce@archwayschool.org,Coeducational,Day Only,6,8,0,0,0,0,0,0,7,9,18,0,0,0,0,0,0,34,No,0,4,3,3,0,No,Yes,No,No,Yes,Non-religious,,Mr.,Peter,Turnbull,Director,,Mr.,Bruce,Shoup,
