"California Department of Education, Educator Excellence Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015-16 Private School Affidavit Data - Schools with Enrollment of Six or More Students (September 1, 2016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2015,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education Services,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
171089,Alameda,01612596910343,Agnes Memorial Christian Academey,2372 International Boulevard,Oakland,CA,94601,,,,,510-533-1101,,,Oakland Unified,Rev.,L.,Simmons,Administrator,billiejsimmons@sbcglobal.net,Coeducational,Day Only,K,12,5,2,0,3,2,0,0,1,0,0,1,0,0,0,0,14,No,0,2,0,1,0,No,No,Yes,No,Yes,Non-religious,,Rev.,L,Simmons,Superintendent,,Rev.,M,Simmons,
175255,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,,,,,510-582-1910,jdiaz@csdo.org,,Hayward Unified,Mrs.,Rosanne,Esplanada,Administrator,resplanada@csdo.org,Coeducational,Day Only,K,8,27,26,14,18,23,29,25,20,28,0,0,0,0,0,0,210,No,0,11,3,1,7,No,Yes,No,No,Yes,Religious,Roman Catholic,Mrs.,Jennifer,Diaz,Principal,jdiaz@csdo.org,Ms.,Susan,Porter,sporter@csdo.org
168786,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,,,,,510-445-8878,info@alsion.org,,Fremont Unified,Mrs.,Rosemary,Petersen,Head of School,alsion.rosemary@comcast.net,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,16,17,6,8,7,6,0,0,60,No,6,5,1,1,1,No,Yes,No,No,Yes,Non-religious,,Mrs.,Rosemary,Petersen,Head of School,alsion.rosemary@comcast.net,Mrs.,Rosemary,Petersen,alsion.rosemary@comcast.net
171033,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,,,,510-868-1815,office@AIMmontessori.com,,Berkeley Unified,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Coeducational,Day Only,K,6,17,10,4,8,1,0,3,0,0,0,0,0,0,0,0,43,No,0,16,3,2,4,No,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Mr.,Ernest,Mahr,office@AIMmontessori.com
175156,Alameda,01611506133441,"Anchor Education, Inc. dba Sterling West -- San Francisco Campus",19234 Lake Chabot Road,Castro Valley,CA,94546,PO Box 368,San Leandro,CA,94577,510-300-6290,jacqueline.holt@sterlinged.org,jacqueline.holt@sterlinged.org,Castro Valley Unified,Mrs.,Winnie,Wong,Principal,winnie.wong@sterlinged.org,Coeducational,Day Only,3,12,0,0,0,6,0,4,1,1,3,1,0,2,2,0,0,20,Yes,0,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Guy,Fussell,Executive Director,guy.fussell@sterlinged.org,Mrs.,Jacqueline,Holt,jacqueline.holt@sterlinged.org
185056,Alameda,07617966932917,"Applied Scholastics Academy, East Bay",2050 Lincoln Avenue,Alameda,CA,94501,,,,,510-748-0428,asaeastbay@gmail.com,,Alameda Unified,Ms.,Diana,Doiel,Director,asaeastbay@gmail.com,Coeducational,Day Only,K,12,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,6,Yes,0,1,0,1,2,No,Yes,No,No,Yes,Non-religious,,Ms.,Diana,Doiel,Director,asaeastbay@gmail.com,Ms.,Diana,Doiel,asaeastbay@gmail.com
179495,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,,,,,510-357-8772,jpetersen@csdo.org,lshahab@csdo.org,San Leandro Unified,Mr.,Joseph,Petersen,Principal,jpetersen@csdo.org,Coeducational,Day Only,K,8,29,26,26,28,33,32,32,29,33,0,0,0,0,0,0,268,No,0,13,4,1,16,No,Yes,No,No,Yes,Religious,Roman Catholic,Sr.,Barbara,Bray,Superintendent,bbray@csdo.org,Ms.,Alana,Seto,aseto@csdo.org
174404,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,,,,,510-428-2606,darlene@auroraschool.org,,Oakland Unified,Mrs.,Darlene,Richard,Administrator,darlene@auroraschool.org,Coeducational,Day Only,K,5,23,14,21,20,14,18,0,0,0,0,0,0,0,0,0,110,No,0,6,7,7,5,No,Yes,No,No,Yes,Non-religious,,Ms.,Abigayil,Koss,Executive Director,abbie@auroraschool.org,Mrs.,Darlene,Richard,darlene@auroraschool.org
187410,Alameda,01611766142459,Averroes High School,43174 Osgood Road,Fremont,CA,94539,,,,,510-580-4566,info@averroesinstitute.com,,Fremont Unified,Mrs.,Reem,Bilibeisi,Principal,reem@averroesinstitute.com,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,15,13,10,12,0,0,50,No,10,7,4,3,2,No,Yes,No,No,Yes,Religious,Islamic,Mrs.,Reem,Bilibeisi,Principal,reem@averroesinstitute.com,Mrs.,Zahra,Noor,zahra@averroesinstitute.com
173494,Alameda,01612590117002,Bayhill High School,1940 Virginia Street,Berkeley,CA,94709,,,,,510-984-0599,lobell@bayhillhs.org,lobell@bayhillhs.org,Berkeley Unified,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,12,19,14,17,0,0,62,Yes,20,14,2,5,3,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,Ms.,Lydia,Stacey,stacey@bayhillhs.org
