2018-19 Private School Affidavit Data - Schools with Enrollment of Six or More Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California Department of Education, Teacher and Leader Policy Office (March 21, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Area Code,Phone Prefix,Phone Suffix,Email,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title ,Adminstrator Email,School Type,School Accomodations,Low Grade,High Grade,Diploma Offered,Low Grade2,High Grade3,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollment,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered4,Graduates 2017-18,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Tax Exempt Not Applicable,Religious Denomination,Religious Classification,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
237659,Alameda,01611276138044,Tilden Preparatory School,1231 Solano Avenue,Albany,CA,94706,no data,no data,no data,no data,510,525,5506,adminalbany@tildenprep.com,no data,Albany City Unified,Dr.,Shary,Nunan,Director,sharynunan@tildenprep.com,Coeducational,Day Only,6,12,Yes,11,20,0,0,0,0,0,0,7,7,13,19,27,34,61,0,0,168,Yes,34,77,34,12,11,No,No,No,No,Yes,no data,Non-religious,Ms.,Tamar,Gottliev,Head of School,tamarg@tildenprep.co,Mr.,Stephen,Shymansky,stephens@tildenprep.com
236932,Alameda,01611506970651,Our Lady of Grace School,19920 Anita Avenue,Castro Valley,CA,94546,no data,no data,no data,no data,510,581,3155,sanderson@csdo.org,no data,Castro Valley Unified,Mrs.,Susan,Anderson,Principal,sanderson@csdo.org,Coeducational,Day Only,K,8,No,4,14,20,18,20,25,27,18,19,32,25,0,0,0,0,0,0,204,No,0,12,6,1,12,Yes,no data,no data,no data,no data,CATH,Religious,Mrs.,Susan,Anderson,Principal,sanderson@csdo.org,Mrs.,Susan,Anderson,sanderson@csdo.org
237420,Alameda,01612006967525,St. Michael School,345 Church Street,Livermore,CA,94550,no data,no data,no data,no data,925,447,1888,jgarcia@csdo.org,lshahab@csdo.org,Livermore Valley Joint Unified,Mrs.,Judith,Garcia,Other,jgarcia@csdo.org,Coeducational,Day Only,K,8,No,5,14,22,19,16,13,18,17,16,17,20,0,0,0,0,22,0,180,No,0,13,0,1,8,Yes,no data,no data,no data,no data,CATH,Religious,Miss,Alison,Wilkie,Principal,awilkie@csdo.org,Mrs.,Michelle,Webster,mwebster@csdo.org
236945,Alameda,01611196967434,Alameda Christian School,2226 Pacific Avenue,Alameda,CA,94501,no data,no data,no data,no data,510,523,1000,alamedachristian@yahoo.com,no data,Alameda Unified,Mrs.,Adeeshela,Hannah-Merriweather,Principal,no data,Coeducational,Day Only,K,8,No,4,14,5,2,3,6,4,1,0,3,6,0,0,0,0,0,0,30,No,0,4,2,1,6,No,No,No,No,Yes,Other,Religious,Mrs.,Adeeshela,Hannah-Merriweather,Principal,adeeshela.h@gmail.com,Mrs.,Naomi,Griffin,alamedachristian@yahoo.com
237159,Alameda,01612596156608,City Reachers Academy,2607 Seminary Ave,Oakland,CA,94605,no data,Oakland,Ca,94605,510,562,5238,cityreachersacademy@gmail.com,no data,Oakland Unified,Ms.,Tiaesha,Williams,Administrator,no data,Coeducational,Day Only,K,8,No,5,14,1,5,4,3,4,4,5,4,6,0,0,0,0,0,0,36,No,0,3,0,1,1,Yes,no data,no data,no data,no data,no data,no data,Dr.,Laura,Armstrong,Director,no data,Ms.,Tomasa,Quezada,docarm@aol.com
237176,Alameda,01750936972657,Valley Christian Elementary School,7500 Inspiration Drive,Dublin,CA,94568,no data,Dublin,no data,no data,925,560,6270,registrar@valleychristianschools.org,abruggeman@valleychristianschools.org,Dublin Unified,Mrs.,Angela,Bruggeman,Head of School,abruggeman@valleychristianschools.org,Coeducational,Day Only,K,5,No,4,11,26,26,20,29,18,32,0,0,0,0,0,0,0,0,0,151,No,0,13,0,1,6,Yes,no data,no data,no data,no data,AG,Religious,Mr.,Larry,Lopez,Principal,llopez@valleychristianschools.org,Mrs.,Debbie,Masamori,dmasamori@valleychristianschools.org
237714,Alameda,01612917072317,"Principled Academy, The",2305 Washington Avenue,San Leandro,CA,94577,no data,no data,no data,no data,510,351,6400,tpacademy2000@yahoo.com,no data,San Leandro Unified,Mr.,Isaac,Durst,Head of School,idurst@gmail.com,Coeducational,Day Only,K,8,No,4,14,15,15,10,12,6,9,4,10,8,0,0,0,0,0,0,89,No,0,6,3,2,5,Yes,Yes,no data,no data,no data,INTD,Religious,Dr.,Mose,Durst,President,mosedurst@yahoo.com,Mr.,Isaac,Durst,idurst@gmail.com
237232,Alameda,01611196154637,Advance College Academy,2710 Encinal Avenue,Alameda,CA,94501,2710 Encinal Ave,Alameda,CA,94501,510,521,1118,advancecollegeacademy@gmail.com,no data,Alameda Unified,Dr.,Carlos,Cortes Perez,Director,advancecollegeacademy@gmail.com,Coeducational,Day Only,K,12,Yes,4,80,7,9,12,15,10,12,13,14,18,8,10,11,15,16,11,181,Yes,0,2,3,4,5,Yes,Yes,Yes,no data,no data,INDP,Religious,Mr.,Michael,Smith,Executive Director,no data,Mrs.,Rebeca,Philips,advancecollegeacademy@gmail.com
237509,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,no data,Oakland,no data,94605,510,577,9100,jgrell@bishopodowd.org,jchilds@bishopodowd.org,Oakland Unified,Mr.,James,Childs,President,jchilds@bishopodowd.org,Coeducational,Day Only,9,12,Yes,13,19,0,0,0,0,0,0,0,0,0,337,302,312,276,0,0,1227,Yes,308,70,12,22,73,Yes,Yes,Yes,no data,no data,CATH,Religious,Ms.,Colette,Roche,Administrator,croche@bishopodowd.org,Ms.,Christine,Abdenour,cabdenour@bishopodowd.org
236980,Alameda,01611766993778,Montessori School of Fremont,155 Washington Blvd.,Fremont,CA,94539,no data,no data,no data,no data,510,490,1993,msf.gelli@gmail.com,msf.lindsay@gmail.com,Fremont Unified,Ms.,Julie,Alexander,Executive Director,msf.julie@gmail.com,Coeducational,Day Only,K,6,No,4,12,16,22,18,18,16,10,13,0,0,0,0,0,0,0,0,113,No,0,28,10,4,4,No,No,No,No,Yes,no data,Non-religious,Mrs.,Lindsay,Neumiller,Director,msf.lindsay@gmail.com,Mrs.,Lindsay,Neumiller,msf.lindsay@gmail.com
