California Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private School Directory 2009-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment,Enrollment,,,,,,,Site,Site,Site,Site,,,,,High,Number of,,,,,,,,,,,Special,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian
Affidavit,,,,,,,,,,,,,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Enrollment,Ungraded,Ungraded,Total,Mail,Mail,Mail ,Mail ,Former,Administrator,Administrator,Administrator,Administrator,Type of,School,Lowest,Highest,School,2008-09 High ,Full-Time,Part-Time,,Other,Tax-exempt,,,Not,Classification,Denomination or,Education,of Records,of Records,of Records,of Records,of Records,of Records,of Records,of Records
ID,County,School Name,Public School District,CDS Code,Phone Number,,,Street,City,State,Zip,E-mail Address,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Elementary,Secondary,Enrollment,Street,City,State,Zip,School,Salutation,First Name,Last Name,Title,School,Accommodation,Grade,Grade,Diploma,School Grads,Teachers,Teachers,Administrators,Staff,501(C)(3) ,23701d,214,Tax-exempt,of School,Church-affiliation,Offered,Salutation,First Name,Last Name,Street,City,State,Zip,E-mail Address
75632,Alameda,"Academy, The",Berkeley Unified,01611436972533,510,549,0605,2722 Benvenue Avenue,Berkeley,CA,94705-1202,theacademyk-8@comcast.net,6,16,8,8,14,12,15,13,13,0,0,0,0,0,0,105, ,,,,,Ms.,Gina,Claudeanos,Director,Coeducational,Day Only,K,8,No,0,11,6,3,3,No,No,No,Yes,Non-religious,,No,Ms.,Gina,Claudeanos,2722 Benvenue Avenue,Berkeley,CA,94705,theacademyk-8@comcast.net
84550,Alameda,Acts Christian Academy,Oakland Unified,01612597082266,510,568,3333,1034 66th Avenue ,Oakland,CA,94621,,20,27,21,13,11,17,10,12,11,0,0,0,0,0,0,142, ,,,,,Mrs.,Stephanie ,Davis ,Principal,Coeducational,Day Only,K,8,No,0,9,0,1,6,Yes,No,No,No,Religious,Other,No,Ms.,Jameika ,Lawson,1034 66th Avenue ,Oakland ,CA,94621,
84009,Alameda,Agnes Memorial Christian Academy,Oakland Unified,01612596910343,510,533,1101,2372 International Boulevard,Oakland,CA,94601,,2,2,2,2,2,2,0,0,0,0,2,2,2,0,0,18, ,,,,,Ms.,Aijeron ,Simmons,Administrator,Coeducational,Day Only,K,12,Yes,2,3,1,2,1,No,No,No,Yes,Religious,PENT,No,Ms.,Aijeron,Simmons,2372 International Boulevard,Oakland,CA,94606,Aijeron@aol.com
74977,Alameda,Alameda Christian,Alameda City Unified,01611196967434,510,523,1000,2226 Pacific Avenue ,Alameda,CA,94501,AlamedaChristian@yahoo.com,7,11,3,8,6,6,3,5,4,0,0,0,0,0,0,53, ,,,,,Mrs.,Jean,Busby,Principal,Coeducational,Day Only,K,8,No,0,5,5,1,2,Yes,No,No,No,Religious,NA,No,Mrs.,Jean,Busby,2226 Pacific Avenue ,Alameda,CA,94501,
72240,Alameda,All Saints Catholic School,Hayward Unified,01611926965909,510,582,1910,22870 Second Street,Hayward,CA,94541,jpierreantoine@csdo.org,18,23,32,29,26,20,29,30,18,0,0,0,0,0,0,225, ,,,,,Mrs.,Jocelyn,Pierre-Antoine,Principal,Coeducational,Day Only,K,8,No,0,10,2,1,10,Yes,No,No,No,Religious,CATH,No,Mrs.,Jocelyn,Pierre-Antoine,22870 Second Street,Hayward,CA,94541,jpierreantoine@csdo.org
76536,Alameda,Alsion Montessori Middle / High,Fremont Unified,01611767103799,510,445,1127,750 Witherly Lane,Fremont,CA,94539,paulhgo@alsion.org,0,0,0,0,0,0,0,12,19,9,9,4,5,0,0,58, ,,,,,Mr.,Michael,Leahy,Head of School,Coeducational,Day Only,7,12,No,5,5,1,1,2,Yes,Yes,No,No,Non-religious,,No,Mr.,Michael,Leahy,P.O. Box 3296 ,Fremont,CA,94539,mleahy@alsion.org
78320,Alameda,American International Montessori School,Berkeley Unified,01611436135743,510,868,1815,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,aimberkeley@gmail.com,6,2,3,3,1,0,0,0,0,0,0,0,0,0,0,15, ,,,,,Mr.,Ernest,Mahr,Administrator,Coeducational,Day Only,K,7,No,0,3,2,2,1,No,No,No,Yes,Non-religious,,No,Ms.,Sakiko,Takeda,1810 Ward Street,Berkeley,CA,94703,aimmontessori@gmail.com
76399,Alameda,"Anchor Education, Inc.",Hayward Unified,01611926133441,510,352,2263,2730 Cavanagh Court ,Hayward,CA,94545,aeischool@sbcglobal.net,0,0,0,0,0,0,2,0,3,0,1,2,1,0,0,9, ,,  ,,,Mr.,Stuart ,Fussell,Director,Coeducational,Day Only,6,12,Yes,0,2,1,0,1,Yes,Yes,No,No,Non-religious,,Yes,Mr.,Stuart ,Fussell,4204 Omega Avenue,Castro Valley,CA,94546,Stuart@stuartfussell.com
