"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Public District,Site Admin Salutation,Site Admin First Name,Site Admin Last Name,Site Admin Title,School Type,School Accomodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Elementary Ungraded Enrollment,Secondary Ungraded Enrollment,Total Enrollment,Offers Diploma,Number of Graduates 2010,Number of Full-time Teachers,Number of Part-Time Teachers,Number of Administrative Staff,Number of Other Staff,Tax Exempt  501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious DenomiNot affiliated with any denomiNot affiliated with any denominationtiontion,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Street,Director/Principal Officer City,Director/Principal Officer State,Director/Principal Officer Zip,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Street,Custodian of Records City,Custodian of Records State,Custodian of Records Zip,Custodian of Records Email
100978,Alameda,01611926141527,A Joyful Noise Learning Center,26555 Gading Road,Hayward,CA,94544,,,,,510-782-8593,jnlcdirector@sbcglobal.net,Hayward Unified,Ms.,Elaini,Dedascalou,Executive Director,Coeducational,Day Only,K,K,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,No,0,1,0,0,2,Yes,No,No,Yes,Religious,Baptist,Ms.,Elaini,Dedascalou,Executive Director,"705 Canonbury Way, Apartment 185",Hayward,CA,94544,jnlcdirector@sbcglobal.net,Mrs.,Faye,Richards,449 Renaissance Avenue,Lathrop,CA,95330,mariferichards@hotmail.com
101281,Alameda,01611506141592,A Shepherd's Heart Christian School,19835 Lake Chabot Road,Castro Valley,CA,94546,225 West Winton Avenue,Hayward,CA,94544,510-581-8081,keithallen7@hotmail.com,Castro Valley Unified,Mr.,Don,Moschella,Headmaster,Coeducational,Day Only,K,12,0,1,0,1,2,2,5,4,5,5,5,2,1,0,0,33,Yes,0,3,1,1,2,No,Yes,No,Yes,Religious,Other,Mr.,Keith,Erickson,Executive Director,"225 West Winton Avenue, Suite 116",Hayward,CA,94544,keithallen7@hotmail.com,Mr.,Keith,Erickson,"225 West Winton Avenue, Suite 116",Hayward,CA,94544,keithallen7@hotmail.com
97780,Alameda,01611436972533,"Academy, The",2722 Benvenue Avenue,Berkeley,CA,94705-1202,,,,,510-549-0605,theacademyk-8@comcast.net,Berkeley Unified,Ms.,Gina,Claudeanos,Director,Coeducational,Day Only,K,8,13,7,17,9,7,19,11,14,14,0,0,0,0,0,0,111,No,0,10,6,2,3,No,No,No,No,Non-religious,,Ms.,Gina,Claudeanos,Director,"4235 Montgomery Street, Apartment B",Oakland,CA,94611,theacademyk-8@comcast.net,Ms.,Gina,Claudeanos,"4235 Montgomery Street, Apartment B",Oakland,CA,94611,theacademyk-8@comcast.net
97052,Alameda,01612597082266,Acts Christian Academy,1034 66th Avenue,Oakland,CA,94621,,,,,510-568-3333,,Oakland Unified,Mrs.,Stephanie,Davis,Principal,Coeducational,Day Only,K,8,24,15,21,11,12,9,17,8,10,0,0,0,0,0,0,127,No,0,8,0,1,6,Yes,No,No,Yes,Religious,Other,Dr.,Doris,Limbrick,Administrator,1034 66th Avenue,Oakland,CA,94621,drlimbrick@actsfullgospel.org,Miss,Jameika,Lawson,1034 66th Avenue,Oakland,CA,94621,
86785,Alameda,01612596910343,Agnes Memorial Christian Academy,2372 International Boulevard,Oakland,CA,94601,,,,,510-533-1101,,Oakland Unified,Mrs.,Doretha,Simmons,Administrator,Coeducational,Day Only,K,12,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,Yes,3,5,0,1,0,No,Yes,No,Yes,Religious,Other,Mr.,Marshall,Simmons,Administrator,2372 International Boulevard,Oakland,CA,94601,,Mrs.,Doretha,Simmons,2372 International Boulevard,Oakland,CA,94601,
88938,Alameda,01611196967434,Alameda Christian,2226 Pacific Avenue,Alameda,CA,94501,,,,,510-523-1000,alamedachristian@yahoo.com,Alameda City Unified,Mrs.,Jean,Busby,Principal,Coeducational,Day Only,K,8,11,3,8,3,7,3,6,2,6,0,0,0,0,0,0,49,No,0,5,1,1,4,Yes,No,Yes,Yes,Religious,InterdenomiNot affiliated with any denominationtioNot affiliated with any denominationl,Ms.,Suzanne,Martin,Director,3414 Redhook Lane,Alameda,CA,94502,,Mrs.,Jean,Busby,2226 Pacific Avenue,Alameda,CA,94501,
87271,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,,,,,510-582-1910,jdiaz@csdo.org,Hayward Unified,Ms.,Jennifer,Diaz,Principal,Coeducational,Day Only,K,8,19,20,20,30,29,30,20,32,28,0,0,0,0,0,0,228,No,0,10,3,1,12,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Sr.,Barbara,Bray,President,2121 Harrison Street,Oakland,CA,94612,,Ms.,Jennifer,Diaz,22870 Second Street,Hayward,CA,94541,jdiaz@csdo.org
93195,Alameda,01611767103799,Alsion Montessori Middle / High,750 Witherly Lane,Fremont,CA,94539,,,,,510-573-4295,paulhgo@alsion.org,Fremont Unified,Mr.,Paul,Go,Director,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,24,14,14,5,6,3,0,0,66,Yes,6,5,2,2,0,Yes,No,No,Yes,Non-religious,,Ms.,Michelle,Doyle,Principal,750 Witherly Lane,Fremont,CA,95439,doylemichelle@hotmail.com,Miss,Sheila,Napal,45251 Mission Boulevard,Fremont,CA,94539,sheilanapal@yahoo.com
87578,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,,,,510-868-1815,office@AIMmontessori.com,Berkeley Unified,Mr.,Ernest,Mahr,Director,Coeducational,Day Only,K,6,3,4,4,0,1,1,1,0,0,0,0,0,0,0,0,14,No,0,5,0,1,0,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,office@AIMmontessori.com,Mr.,Ernest,Mahr,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,office@AIMmontessori.com
95668,Alameda,01611926133441,"Anchor Education, Inc.",19234 Lake Chabot Road,Castro Valley,CA,94546,PO Box 368,San Leandro,CA,94577,510-247-9235,aeischool@sbcglobal.net,Castro Valley Unified,Mr.,Stuart,Fussell,Director,Coeducational,Day Only,6,12,0,0,0,0,0,0,1,2,0,3,0,1,2,0,0,9,Yes,1,2,1,0,1,Yes,Yes,No,Yes,Non-religious,,Mr.,James,Holt,President,739 Bridge Road,San Leandro,CA,94577,aeischool@sbcglobal.net,Mr.,Stuart,Fussell,4204 Omega Avenue,Castro Valley,CA,94546,stuart@stuartfussell.com
