"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011-12 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 1, 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,ZipPlus4,Mailing Street,Mailing City,Mailing State,Mailing Zip,Mailing ZipPlus4,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2011,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Street,Director/Principal Officer City,Director/Principal Officer State,Director/Principal Officer Zip,Director/Principal Officer ZipPlus4,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Street,Custodian of Records City,Custodian of Records State,Custodian of Records Zip,Custodian of Records ZipPlus4,Custodian of Records Email
113387,Alameda,01611506141592,A Shepherd's Heart Christian School,19835 Lake Chabot Road,Castro Valley,CA,94546,,225 West Winton Avenue,Hayward,CA,94544,,510-581-8081,keithallen7@hotmail.com,,Castro Valley Unified,Mr.,Don,Moschella,Headmaster,Coeducational,Day Only,K,12,0,3,2,0,3,3,3,5,5,7,7,7,0,0,0,45,Yes,0,3,2,2,0,Yes,Yes,Yes,No,Yes,Religious,NA,Mr.,Keither,Erickson,Superintendent,"225 West Winton Avenue, Suite 116",Hayward,CA,94544,,keithallen7@hotmail.com,Mr.,Keither,Erickson,"225 West Winton Avenue, Suite 116",Hayward,CA,94544,,keithallen7@hotmail.com
113485,Alameda,01611436972533,"Academy, The",2722 Benvenue Avenue,Berkeley,CA,94705,,,,CA,,,510-549-0605,theacademyk-8@comcast.net,gclaudeanos@theacademyk-8.com,Berkeley Unified,Ms.,Gina,Claudeanos,Director,Coeducational,Day Only,K,8,9,12,7,15,9,8,15,8,13,0,0,0,0,0,0,96,No,0,11,6,3,5,No,No,No,No,No,Non-religious,,Ms.,Gina,Claudeanos,Director,"4235 Montgomery Street, Apartment B",Oakland,CA,94611,,gclaudeanos@theacademyk-8.com,Ms.,Gina,Claudeanos,2722 Benvenue Avenue,Berkeley,CA,94705,,gclaudeanos@theacademyk-8.com
115024,Alameda,01612597082266,Acts Christian Academy,1034 66th Avenue,Oakland,CA,94621,,,,CA,,,510-568-3333,sdavis@actsfullgospel.org,,Oakland Unified,Mrs.,Stephanie,Davis,Principal,Coeducational,Day Only,K,8,20,25,14,16,12,12,9,15,12,0,0,0,0,0,0,135,No,0,9,1,1,2,No,Yes,No,No,Yes,Religious,Other,Mrs.,Stephanie,Davis,Principal,1034 66th Avenue,Oakland,CA,94621,,,Miss,Brittany,Davis,1034 66th Avenue,Oakland,CA,94621,,
115760,Alameda,01612596910343,Agnes Memorial Christian Academy,2372 International Boulevard,Oakland,CA,94601,,,,CA,,,510-533-1101,agnesmemorial @sbcglobal.net,,Oakland Unified,Mrs.,Billie,Simmons,Administrator,Coeducational,Day Only,K,12,3,2,2,3,2,2,2,3,0,0,2,2,2,0,0,25,No,2,3,1,2,1,No,No,Yes,No,Yes,Religious,PENT,Br.,Marshall,Simmons,Principal,2372 International Boulevard,Oakland,CA,94601,,billiejsimmons@sbcglobal.net,Ms.,Aijeron,Simmons,2372 International Boulevard,Oakland,CA,94601,,Aijeron@aol.com
102480,Alameda,01611196967434,Alameda Christian,2226 Pacific Avenue,Alameda,CA,94501,,,,CA,,,510-523-1000,alamedachristian@yahoo.com,,Alameda City Unified,Mrs.,Jean,Busby,Principal,Coeducational,Day Only,K,8,7,8,4,7,4,7,3,5,0,0,0,0,0,0,0,45,No,0,5,1,1,4,No,Yes,No,Yes,Yes,Religious,INTD,Mr.,Jay,Sankey,Director,3007 Lincoln Avenue,Alameda,CA,94501,,,Mrs.,Jean,Busby,2226 Pacific Avenue,Alameda,CA,94501,,
115025,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,,,,CA,,,510-582-1910,jdiaz@csdo.org,jgarcia@csdo.org,Hayward Unified,Ms.,Jennifer,Diaz,Principal,Coeducational,Day Only,K,8,23,20,21,19,26,28,28,21,32,0,0,0,0,0,0,218,No,0,10,3,1,12,No,Yes,No,No,Yes,Religious,CATH,Sr.,Barbara,Bray,President,2121 Harrison Street,Oakland,CA,94612,,,Ms.,Jennifer,Diaz,2870 Second Street,Hayward,CA,94541,,jdiaz@csdo.org
108202,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,,,CA,,,510-868-1815,office@AIMmontessori.com,,Berkeley Unified,Mr.,Ernest,Mahr,Director,Coeducational,Day Only,K,6,18,1,8,1,1,1,0,0,0,0,0,0,0,0,0,30,No,0,8,0,2,0,No,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,office@AIMmontessori.com,Mr.,Ernest,Mahr,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,office@AIMmontessori.com
106984,Alameda,01611926133441,"Anchor Education, Inc.",19234 Lake Chabot Road,Castro Valley,CA,94546,,PO Box 368,San Leandro,CA,94577,,510-247-9235,aeischool@sbcglobal.net,,Castro Valley Unified,Mr.,Stuart,Fussell,Director,Coeducational,Day Only,3,12,0,0,0,1,2,1,0,1,2,0,3,0,2,0,0,12,Yes,2,4,0,0,0,No,Yes,Yes,No,Yes,Non-religious,,Mr.,James,Holt,President,739 Bridge Road,San Leandro,CA,94577,,aeischool@sbcglobal.net,Mr.,Stuart,Fussell,18563 Vineyard Road,Castro Valley,CA,94546,,stuart@stuartfussell.com
114706,Alameda,01612596932768,Archway School- A Program of Woodsedge,250 41st Street,Oakland,CA,94611,,,,CA,,,510-547-4747,kym@archwayschool.org,johanna@archwayschool.org,Oakland Unified,Ms.,Johanna,McCormack,Head of School,Coeducational,Day Only,K,8,7,7,6,6,7,14,12,12,12,0,0,0,0,0,0,83,No,0,10,5,5,1,No,Yes,No,No,Yes,Non-religious,,Ms.,Johanna,McCormack,Head of School,250 41st Street,Oakland,CA,94611,,johanna@archwayschool.org,Ms.,Kym,Johnson,250 41st Street,Oakland,CA,94611,,kym@archwayschool.org
112740,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,,,,CA,,,510-357-8772,plyons@csdo.org,,San Leandro Unified,Ms.,Pamela,Lyons,Principal,Coeducational,Day Only,K,8,32,32,32,33,32,30,34,33,31,0,0,0,0,0,0,289,No,0,13,10,1,18,Yes,Yes,No,No,Yes,Religious,CATH,Sr.,Barbara,Bray,Superintendent,"2121 Harrison Avenue, Suite 100",Oakland,CA,94612,,jgarcia@csdo.org,Ms.,Pamela,Lyons,1851 136th Avenue,San Leandro,CA,94578,,plyons@csdo.org
108868,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,,,,CA,,,510-428-2606,darlene@auroraschool.org,,Oakland Unified,Ms.,Abigayil,Koss,Executive Director,Coeducational,Day Only,K,5,27,21,22,23,11,14,0,0,0,0,0,0,0,0,0,118,No,0,6,7,6,8,No,Yes,No,No,Yes,Non-religious,,Ms.,Abigayil,Koss,Executive Director,40 Dulwich Road,Oakland,CA,94618,,abbie@auroraschool.org,Mrs.,Darlene,Richard,40 Dulwich Road,Oakland,CA,94618,,darlene@auroraschool.org
102533,Alameda,01611766142459,Averroes Institute,43174 Osgood Road,Fremont,CA,94539,,,,CA,,,510-423-2052,info@averroesinstitute.com,,Fremont Unified,Mrs.,Reem,Bilbeisi,Director,Coeducational,Day Only,9,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,No,0,0,6,2,1,No,Yes,No,No,Yes,Religious,ISLM,Mrs.,Reem,Bilbeisi,Director,36575 Nichols Avenue,Fremont,CA,94536,,reem@averroesinstitute.com,Miss,Khushbo,Khalil,4555 Thornton Avenue,Fremont,CA,94536,,khushbo@averroesinstitute.com
