"California Department of Education, Title II Leadership Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14 Private School Affidavit Data - Schools with Enrollment of Six or More Students (August 5, 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2013,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Certified NoPS,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious DenomiNot affiliated with any denominationtion,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
146225,Alameda,01611506141592,A Shepherd's Heart Christian School,"225 West Winton Avenue, Suite 116",Castro Valley,CA,94546,,,,,510-581-8081,keithallen7@hotmail.com,,Castro Valley Unified,Mr.,Don,Moschella,Headmaster,keithallen7@hotmail.com,Coeducational,Day Only,K,12,1,1,0,1,3,0,2,2,4,6,2,3,2,0,0,27,Yes,2,2,4,0,0,No,No,Yes,No,Yes,Religious,Not affiliated with any denomination,Mr.,KEITH,ERICKSON,Superintendent,keithallen7@hotmail.com,Mr.,KEITH,ERICKSON,keithallen7@hotmail.com
132666,Alameda,01611436972533,"Academy, The",2722 Benvenue Avenue,Berkeley,CA,94705,,,,,510-549-0605,theacademyk-8@comcast.net,,Berkeley Unified,Mrs.,Dana,Weld,Head of School,dweld@theacademyk-8.com,Coeducational,Day Only,K,8,8,9,8,9,4,10,9,9,12,0,0,0,0,0,0,78,No,0,11,6,1,2,,No,No,No,No,Non-religious,,Mrs.,Dana,Weld,Head of School,dweld@theacademyk-8.com,Mrs.,Dana,Weld,dweld@theacademyk-8.com
148249,Alameda,01612597082266,Acts Christian Academy,1034 66th Avenue,Oakland,CA,94621,,,,,510-568-3333,drlimbrick@actsfullgospel.org,,Oakland Unified,Dr.,Doris,Limbrick,Principal,DRlimbrick@actsfullgospel.org,Coeducational,Day Only,K,8,30,19,14,20,10,12,9,12,10,0,0,0,0,0,0,136,No,0,10,2,0,2,No,Yes,No,No,Yes,Religious,Other,Dr.,Doris,Limbrick,Principal,drlimbrick@actsfullgospel.org,Miss,Brittany,Davis,
134650,Alameda,01611196967434,Alameda Christian,2226 Pacific Avenue,Alameda,CA,94501,,,,,510-523-1000,alamedachristian@yahoo.com,,Alameda City Unified,Mr.,Ron,Postma,Principal,ron.postma3@gmail.com,Coeducational,Day Only,K,8,6,3,3,7,3,8,3,7,4,0,0,0,0,0,0,44,No,0,4,2,1,4,No,Yes,Yes,Yes,Yes,Religious,Interdenominational,Mr.,Jay,Sankey,President,,Mr.,Ron,Postma,
137325,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,,,,,510-582-1910,jdiaz@csdo.org,,Hayward Unified,Mrs.,Jennifer,DIaz,Principal,jdiaz@csdo.org,Coeducational,Day Only,K,8,14,19,25,23,24,21,32,33,30,0,0,0,0,0,0,221,No,0,11,0,1,9,No,Yes,No,No,Yes,Religious,Roman Catholic,Mrs.,Jennifer,Diaz,Principal,jdiaz@csdo.org,Ms.,Sue,Porter,sporter@csdo.org
142104,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,PO Box 3296,Fremont,CA,94539,510-445-8878,info@alsion.org,,Fremont Unified,Mrs.,Rosemary,Petersen,Head of School,alsion.rosemary@comcast.net,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,10,16,8,8,6,11,0,0,59,Yes,5,5,2,1,1,Yes,Yes,No,No,Yes,Non-religious,,Mr.,Timothy,Reilly,President,timothyreilly12@gmail.com,Mrs.,Rebecca,Buzsaki,alsion.rebecca@gmail.com
148408,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,,,,510-868-1815,office@AIMmontessori.com,,Berkeley Unified,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Coeducational,Day Only,K,6,25,10,12,2,4,2,2,0,0,0,0,0,0,0,0,57,No,0,16,3,3,2,No,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Mr.,Ernest,Mahr,office@AIMmontessori.com
137254,Alameda,01611506133441,"Anchor Education, Inc.",19234 Lake Chabot Road,Castro Valley,CA,94546,PO Box 368,San Leandro,CA,94577,510-247-9235,aeischool@sbcglobal.net,,Castro Valley Unified,Mr.,Stuart,Fussell,Director,stuart.fussell@sterlinged.org,Coeducational,Day Only,3,12,0,0,0,4,1,1,3,1,0,2,2,0,4,0,0,18,Yes,0,2,3,0,0,No,Yes,Yes,No,Yes,Non-religious,,Mr.,James,Holt,President,JamesH@castlecarmel.com,Mr.,Stuart,Fussell,stuart.fussell@sterlinged.org
138411,Alameda,07617966932917,"Applied Scholastics Academy, East Bay",2050 Lincoln Avenue,Alameda,CA,94501,,,,,510-748-0428,asaeastbay@gmail.com,,Alameda Unified,Ms.,Diana,Doiel,Director,asaeastbay@gmail.com,Coeducational,Day Only,K,12,1,3,0,1,1,3,1,1,1,0,0,0,1,0,0,13,Yes,0,1,2,1,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Diana,Doiel,Principal,asaeastbay@gmail.com,Ms.,Diana,Doiel,asaeastbay@gmail.com
145244,Alameda,01611436932768,Archway School,1940 Virginia Street,Berkeley,CA,94709,,,,,510-849-4747,bdshoup@gmail.com,,Berkeley Unified,Mr.,Bruce,Shoup,Head of School,bruce@archwayschool.org,Coeducational,Day Only,5,8,0,0,0,0,0,4,8,14,8,0,0,0,0,0,0,34,No,0,6,1,3,1,Yes,Yes,No,No,Yes,Non-religious,,Mr.,Bruce,Shoup,Head of School,bruce@archwayschool.org,Ms.,Pamela,Brenman,pamela@archwayschool.org
136106,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,,,,,510-357-8772,plyons@csdo.org,jgarcia@csdo.org,San Leandro Unifed,Ms.,Pamela,Lyons,Principal,plyons@csdo.org,Coeducational,Day Only,K,8,24,31,33,34,33,33,34,31,30,0,0,0,0,0,0,283,No,0,14,5,1,17,Yes,Yes,No,No,Yes,Religious,Roman Catholic,Sr.,Barbara,Bray,Superintendent,bbray@csdo.org,Ms.,Pamela,Lyons,plyons@csdo.org
148391,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,,,,,510-428-2606,darlene@auroraschool.org,,Oakland Unified School District,Ms.,Abigayil,Koss,Executive Director,abbie@auroraschool.org,Coeducational,Day Only,K,5,19,21,24,22,23,20,0,0,0,0,0,0,0,0,0,129,No,0,12,8,6,4,No,Yes,No,No,Yes,Non-religious,,Ms.,Abigayil,Koss,Executive Director,abbie@auroraschool.org,Mrs.,Darlene,Richard,darlene@auroraschool.org
146295,Alameda,01611766142459,Averroes High School,43174 Osgood Road,Fremont,CA,94539,,,,,510-423-2052,info@averroesinstitute.com,,Fremont Unified,Mrs.,Reem,Bilbeisi,Director,reem@averroesinstitute.com,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,9,8,11,0,0,0,28,No,0,2,7,4,3,No,Yes,No,No,Yes,Religious,Islamic,Mrs.,Reem,Bilbeisi,Principal,reem@averroesinstitute.com,Miss,Zeenat,Umar,zeenat@averroesinstitute.com
137548,Alameda,01612590117002,Bayhill High School,521 Boden Way,Oakland,CA,94610,,,,,510-268-1500,lobell@bayhillhs.org,,Oakland Unified School District,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,9,15,22,14,0,0,60,Yes,0,8,2,3,6,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Shelley,Lobell,Executive Director,,Ms.,Shelley,Lobell,
137503,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,,,,,510-785-1313,deborah.joplin@baysidesdaschool.com,,Hayward Unified,Mrs.,Deborah,Joplin,Principal,deborah.joplin@baysidesdaschool.com,Coeducational,Day Only,1,8,0,3,5,6,2,3,5,4,1,0,0,0,0,0,0,29,No,0,2,0,0,2,No,Yes,No,No,Yes,Religious,Seventh-day Adventist,Mrs.,Coreen,Hicks,Superintendent,superintendent@nccsda.com,Mr.,Bill,Keresoma,superintendent@nccsda.com
145548,Alameda,01612596928725,Beacon School,2101 Livingston Street,Oakland,CA,94606,,,,,510-436-4466,jcatania@beaconday.org,frontdesk@beaconday.org,Oakland Unified,Ms.,Jacqueline,Ortega,Executive Director,JOrtega@beaconday.org,Coeducational,Day Only,K,8,10,15,9,14,14,12,17,19,22,0,0,0,0,0,0,132,No,0,15,0,5,15,No,Yes,No,No,Yes,Non-religious,,Ms.,Jacqueline,Ortega,Executive Director,JOrtega@beaconday.org,Ms.,Jacqueline,Ortega,JOrtega@beaconday.org
148551,Alameda,01612596967475,Bentley,1 Hiller Drive,Oakland,CA,94618,,,,,510-843-2512,afhogan@bentleyschool.net,,Oakland Unified,Ms.,Arlene,Hogan,Head of School,afhogan@bentleyschool.net,Coeducational,Day Only,K,8,41,32,37,38,37,49,38,43,43,0,0,0,0,0,0,358,No,0,39,19,6,21,No,Yes,No,No,Yes,Non-religious,,Ms.,Arlene,Hogan,Head of School,afhogan@bentleyschool.net,Ms.,Gina,Raible,graible@bentleyschool.net
