"California Department of Education, Teacher and Leader Policy Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18 Private School Affidavit Data - Schools with Enrollment of Six or More Students (July 2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affidavit ID,County,CDS Code,School ,Street,City,State,Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Telephone,Email ,Email2,Public District,Site Administrator Salutation,Site Administrator First Name,Site Administrator Last Name,Site Administrator Title,Site Administrator Email,School Type,School Accommodations,Low Grade,High Grade,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Elementary Enrollmnet,Ungraded Secondary Enrollment,Total Enrollment,Diploma Offered,Graduates 2015-16,Full Time Teachers,Part Time Teachers,Administrative Staff,Other Staff,Offers Special Education Services,Tax Exempt 501,Tax Exempt 23701,Tax Exempt 214,Tax Exempt,Religious Classification,Religious Denomination,Director/Principal Officer Salutation,Director/Principal Officer First Name,Director/Principal Officer Last Name,Director/Principal Officer Title,Director/Principal Officer Email,Custodian of Records Salutation,Custodian of Records First Name,Custodian of Records Last Name,Custodian of Records Email
228194,Alameda,01612597082266,Acts Christian Academy,1034 66th Avenue,Oakland,CA,94621,no data,no data,no data,no data,510-568-3333,actschristian.academy@yahoo.com,dlimbrick@actsfullospel.org,Oakland Unified,Dr.,Doris,Limbrick,Principal,limrickdoris@icloud.com,Coeducational,Day Only,K,8,19,15,19,15,10,9,5,11,8,0,0,0,0,0,0,111,No,0,7,2,1,6,No,Yes,No,No,Yes,Religious,Other,Dr.,Doris,Limbrick,Principal,limbrickdoris@icloud.com,Ms.,Danielle,Celestino,actschristian.academy@yahoo.com
221350,Alameda,01611196154637,Advance College Academy,2710 Encinal Avenue,Alameda,CA,94501,no data,no data,no data,no data,510-521-1118,carelcor2000@yahoo.com,no data,Alameda Unified,Mr.,Carlos,Cortes Perez,Director,carelcor2000@yahoo.com,Coeducational,Day Only,K,12,10,12,14,18,17,19,16,11,15,18,14,13,12,17,12,218,No,12,5,7,3,2,No,Yes,Yes,Yes,Yes,Religious,INDP,Mr.,Joel,Smith,Executive Director,no data,Miss,Virginia,Stand,no data
224751,Alameda,01612596910343,Agnes Memorial Christian Academey,2372 International Boulevard,Oakland,CA,94601,no data,no data,no data,no data,510-533-1101,no data,no data,Oakland Unified,Mrs.,sandra,phelps,Director,sandybeaches84@yahoo.com,Coeducational,Day Only,K,12,5,3,2,2,2,0,3,0,0,0,0,0,0,0,0,17,No,0,4,0,1,0,No,Yes,No,No,Yes,Religious,CG,Mrs.,sandra,phelps,Director,sandybeaches84@yahoo.com,Mrs.,sandra,phelps,sandybeaches84@yahoo.com
230629,Alameda,01611196967434,Alameda Christian School,2226 Pacific Avenue,Alameda,CA,94501,no data,no data,no data,no data,510-523-1000,alamedachristian@yahoo.com,no data,Alameda Unified,Mrs.,Suzanne,Di Lillo,Principal,alamedachristian@yahoo.com,Coeducational,Day Only,K,8,7,6,7,9,2,4,5,7,1,0,0,0,0,0,0,48,No,0,5,4,1,3,No,Yes,Yes,No,Yes,Religious,REF,Mrs.,Suzanne,Di Lillo,Principal,alamedachristian@yahoo.com,Mrs.,Suzanne,Di Lillo,alamedachristian@yahoo.com
227716,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,22870 2nd Street,Hayward,CA,94541,510-582-1910,allsaintshayward@comcast.net,allsaintshayward@comcast.net,Hayward Unified,Mrs.,Rosanne,Esplanada,Administrator,resplanada@csdo.org,Coeducational,Day Only,K,8,32,23,20,25,18,17,28,32,21,0,0,0,0,0,0,216,No,0,11,3,1,13,No,Yes,No,No,Yes,Religious,Roman Catholic,Mrs.,Jennifer,Diaz,Principal,allsaintshayward@comcast.net,Ms.,Susan,Porter,sporter@csdo.org
225035,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,PO Box 3296,PO Box 3296,CA,94539,510-445-8878,info@alsion.org,mrjoey@alsionschool.org,Fremont Unified,Mr.,Joseph,Morrison,Head of School,mrjoey@alsionschool.org,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,13,20,8,12,4,6,0,0,63,Yes,0,7,1,1,1,No,Yes,No,No,Yes,Non-religious,,Mr.,Joseph,Morrison,Head of School,no data,Mr.,Joseph,Morrison,mrjoey@alsionschool.org
223052,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,no data,no data,no data,no data,510-868-1815,office@AIMmontessori.com,no data,Berkeley Unified,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Coeducational,Day Only,K,6,13,9,9,8,3,5,0,0,0,0,0,0,0,0,0,47,No,0,19,4,2,7,No,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Mr.,Ernest,Mahr,office@AIMmontessori.com
225021,Alameda,01611506133441,"Anchor Education, Inc. dba Sterling West -- San Francisco Campus",19234 Lake Chabot Road,Castro Valley,CA,94546,PO Box 368,San Leandro,CA,94577,510-300-6290,jacqueline.holt@sterling.education,no data,Castro Valley Unified,Mrs.,Winnie,Wong,Principal,winnie.wong@sterling.education,Coeducational,Day Only,3,12,0,0,0,2,2,7,0,4,1,1,3,1,0,0,0,21,Yes,2,3,0,1,0,No,Yes,No,No,Yes,Non-religious,,Mr.,Hugh,Fussell,Superintendent,hugh.fussell@sterling.education,Mrs.,Winnie,Wong,winnie.wong@sterling.education
223037,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,no data,no data,no data,no data,510-357-8772,jpetersen@csdo.org,lshahab@csdo.org,San Leandro Unified,Mr.,Joseph,Petersen,Principal,jpetersen@csdo.org,Coeducational,Day Only,K,8,14,17,30,26,27,26,30,28,33,0,0,0,0,0,0,231,No,0,12,6,1,17,No,Yes,No,No,Yes,Religious,Roman Catholic,Ms.,Kathleen,Radecke,Superintendent,kradecke@csdo.org,Ms.,Alana,Seto,aseto@csdo.org
223632,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,no data,no data,no data,no data,510-428-2606,darlene@auroraschool.org,no data,Oakland Unified,Mrs.,Darlene,Richard,Administrator,darlene@auroraschool.org,Coeducational,Day Only,K,5,11,21,26,14,15,16,0,0,0,0,0,0,0,0,0,103,No,0,6,6,6,17,No,Yes,No,No,Yes,Non-religious,,Ms.,Abigayil,Koss,Head of School,abbie@auroraschool.org,Mrs.,Darlene,Richard,darlene@auroraschool.org
